Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39089457,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
39185962,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
39186892,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
39187814,00000460,false,Rx,4,8,8B,08,0B,09,0B,14,0B,13,
39188816,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
39189730,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,19,
39190764,00000460,false,Rx,4,8,8B,11,0B,10,0B,1A,0B,1A,
39191686,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
39192586,00000470,false,Rx,4,8,8B,19,0B,1A,0B,1B,0B,1C,
39193570,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
39194573,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
39195355,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
39196447,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
39202668,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1D,
39203587,00000473,false,Rx,4,8,8B,1D,0B,1F,0B,1F,0B,1D,
39204583,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
39242248,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
39243157,00000478,false,Rx,4,8,8B,13,0B,12,0B,13,0B,12,
39244150,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
39252924,0000046A,false,Rx,4,8,8B,10,0B,0E,0B,1B,0B,19,
39253833,0000047A,false,Rx,4,8,8B,1A,0B,1A,0B,19,0B,1A,
39254816,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
39261712,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
39262519,0000047C,false,Rx,4,6,8B,1E,0B,1F,0B,1D,00,00,
39263532,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
39266310,0000046D,false,Rx,4,6,8B,0E,0B,0E,0B,18,00,00,
39267077,0000047D,false,Rx,4,6,8B,17,0B,17,0B,17,00,00,
39268101,000007ED,false,Rx,4,8,0D,0A,00,00,00,00,10,24,
39271297,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
39272094,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,27,00,00,
39273118,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
1014995,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
1111489,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
1112427,00000460,false,Rx,4,8,8B,0E,0B,10,0B,18,0B,18,
1113342,00000460,false,Rx,4,8,8B,09,0B,08,0B,13,0B,13,
1114344,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
1115277,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
1116299,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,12,
1117284,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
1118255,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
1119037,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1B,00,00,
1128183,00000463,false,Rx,4,8,8B,13,0B,14,0B,1D,0B,1E,
1129112,00000473,false,Rx,4,8,8B,1F,0B,1F,0B,1C,0B,1E,
1130106,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
1133211,00000460,false,Rx,4,8,8B,11,0B,11,0B,1C,0B,1D,
1134111,00000470,false,Rx,4,8,8B,1C,0B,1B,0B,1B,0B,1B,
1135125,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
1167775,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
1168674,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
1169668,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
1178451,0000046A,false,Rx,4,8,8B,10,0B,0F,0B,1A,0B,19,
1179351,0000047A,false,Rx,4,8,8B,1B,0B,17,0B,1A,0B,18,
1180325,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
1187233,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
1188030,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
1189054,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
1191822,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
1192597,0000047D,false,Rx,4,6,8B,17,0B,18,0B,16,00,00,
1193611,000007ED,false,Rx,4,8,0D,0A,00,00,00,00,10,24,
1196807,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
1197603,0000047E,false,Rx,4,6,8B,29,0B,28,0B,26,00,00,
1198628,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
2017579,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
2114098,00000460,false,Rx,4,6,8B,11,0B,10,0B,18,00,00,
2115026,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,18,0B,18,
2116341,00000460,false,Rx,4,8,8B,11,0B,11,0B,1C,0B,1C,
2117254,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,12,
2118165,00000470,false,Rx,4,8,8B,1B,0B,1B,0B,1B,0B,1D,
2119068,00000470,false,Rx,4,8,8B,12,0B,13,0B,10,0B,12,
2120082,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
2121006,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
2121980,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
2123073,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
2123915,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
2130790,00000463,false,Rx,4,8,8B,11,0B,12,0B,1E,0B,1F,
2131699,00000473,false,Rx,4,8,8B,1C,0B,1D,0B,1F,0B,1E,
2132694,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
2170370,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
2171289,00000478,false,Rx,4,8,8B,14,0B,10,0B,14,0B,12,
2172282,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
2181035,0000046A,false,Rx,4,8,8B,11,0B,10,0B,1A,0B,1A,
2181944,0000047A,false,Rx,4,8,8B,1B,0B,1A,0B,19,0B,19,
2182928,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
2189825,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1C,00,00,
2190631,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
2191645,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
2194402,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,18,00,00,
2195189,0000047D,false,Rx,4,6,8B,17,0B,17,0B,16,00,00,
2196194,000007ED,false,Rx,4,8,0D,0A,00,00,00,00,10,24,
2199389,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,29,00,00,
2200166,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
2201210,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
3020759,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
3117264,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
3118172,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,19,
3119496,00000460,false,Rx,4,8,8B,12,0B,11,0B,1B,0B,1B,
3120419,00000460,false,Rx,4,8,8B,08,0B,0A,0B,12,0B,12,
3121312,00000470,false,Rx,4,8,8B,1B,0B,1B,0B,1B,0B,1A,
3122236,00000470,false,Rx,4,8,8B,12,0B,12,0B,12,0B,12,
3123240,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
3124172,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
3125145,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
3126249,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
3127081,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
3133956,00000463,false,Rx,4,8,8B,13,0B,13,0B,1E,0B,1E,
3134865,00000473,false,Rx,4,8,8B,1C,0B,20,0B,1D,0B,1E,
3135848,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
3173552,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,12,
3174461,00000478,false,Rx,4,8,8B,13,0B,10,0B,13,0B,13,
3175446,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
3184198,0000046A,false,Rx,4,8,8B,0F,0B,11,0B,18,0B,1B,
3185097,0000047A,false,Rx,4,8,8B,17,0B,1C,0B,17,0B,1B,
3186080,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
3193029,0000046C,false,Rx,4,6,8B,13,0B,11,0B,1D,00,00,
3193816,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
3194850,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
3197575,0000046D,false,Rx,4,6,8B,0F,0B,0D,0B,17,00,00,
3198342,0000047D,false,Rx,4,6,8B,17,0B,17,0B,17,00,00,
3199377,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
3202582,0000046E,false,Rx,4,6,8B,1C,0B,18,0B,28,00,00,
3203379,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
3204382,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
4021366,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
4117875,00000460,false,Rx,4,6,8B,10,0B,10,0B,19,00,00,
4118783,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
4120107,00000460,false,Rx,4,8,8B,12,0B,11,0B,1A,0B,1B,
4121030,00000470,false,Rx,4,8,8B,1A,0B,1B,0B,1C,0B,1C,
4122032,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
4122966,00000470,false,Rx,4,8,80,02,0B,1A,0B,1B,0B,19,
4124060,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
4124912,00000470,false,Rx,4,6,8B,1A,0B,18,0B,1A,00,00,
4134564,00000463,false,Rx,4,8,8B,11,0B,13,0B,1E,0B,1F,
4135483,00000473,false,Rx,4,8,8B,1C,0B,1D,0B,1E,0B,1F,
4136477,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
4138970,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,13,
4139879,00000470,false,Rx,4,8,8B,13,0B,12,0B,12,0B,12,
4140853,000007E0,false,Rx,4,8,0D,0C,00,00,00,00,10,19,
4174164,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
4175063,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,12,
4176048,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
4184821,0000046A,false,Rx,4,8,8B,10,0B,10,0B,18,0B,1B,
4185740,0000047A,false,Rx,4,8,8B,19,0B,1A,0B,19,0B,18,
4186724,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
4193640,0000046C,false,Rx,4,6,8B,12,0B,11,0B,1D,00,00,
4194427,0000047C,false,Rx,4,6,8B,1D,0B,1E,0B,1C,00,00,
4195462,000007EC,false,Rx,4,8,0D,0F,00,00,00,00,10,28,
4198188,0000046D,false,Rx,4,6,8B,0E,0B,0E,0B,18,00,00,
4198986,0000047D,false,Rx,4,6,8B,16,0B,17,0B,16,00,00,
4199980,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
4203185,0000046E,false,Rx,4,6,8B,1C,0B,19,0B,28,00,00,
4203973,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
4205006,000007EE,false,Rx,4,8,00,02,00,00,00,00,10,10,
5022523,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
5119029,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
5119938,00000460,false,Rx,4,8,8B,0E,0B,0F,0B,17,0B,18,
5126979,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
5127888,00000460,false,Rx,4,8,8B,10,0B,0F,0B,1B,0B,1C,
5128801,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,11,
